location,site,plot,recruits,period
Maguey,8,69,11,Baseline
Maguey,8,70,25,Baseline
Maguey,8,71,11,Baseline
Maguey,8,72,8,Baseline
Maguey,10,81,22,Baseline
Maguey,10,82,20,Baseline
Maguey,10,83,9,Baseline
Maguey,10,84,18,Baseline
Maguey,12,53,12,Baseline
Maguey,12,54,14,Baseline
Maguey,12,56,12,Baseline
Maguey,15,64,12,Baseline
Maguey,28,74,13,Baseline
Maguey,28,76,6,Baseline
Maguey,38,57,3,Baseline
Maguey,38,58,21,Baseline
Maguey,38,59,17,Baseline
Maguey,38,60,7,Baseline
Maguey,43,65,4,Baseline
Maguey,43,66,16,Baseline
Maguey,43,67,4,Baseline
Maguey,43,68,5,Baseline
Maguey,45,85,3,Baseline
Maguey,45,87,6,Baseline
Maguey,45,88,7,Baseline
Maguey,48,50,22,Baseline
Maguey,48,52,10,Baseline
Maguey,74,95,18,Baseline
Tampico,1,15,6,Baseline
Tampico,4,5,3,Baseline
Tampico,4,6,1,Baseline
Tampico,4,8,5,Baseline
Tampico,20,10,4,Baseline
Tampico,20,11,9,Baseline
Tampico,20,12,6,Baseline
Tampico,22,33,3,Baseline
Tampico,22,34,3,Baseline
Tampico,22,35,7,Baseline
Tampico,23,45,19,Baseline
Tampico,23,46,4,Baseline
Tampico,23,47,17,Baseline
Tampico,23,48,11,Baseline
Tampico,24,31,10,Baseline
Tampico,24,32,1,Baseline
Tampico,35,1,5,Baseline
Tampico,35,2,20,Baseline
Tampico,35,3,18,Baseline
Tampico,37,17,9,Baseline
Tampico,37,18,8,Baseline
Tampico,37,19,3,Baseline
Tampico,37,20,4,Baseline
Tampico,39,37,5,Baseline
Tampico,39,38,13,Baseline
Tampico,39,39,4,Baseline
Tampico,43,21,17,Baseline
Tampico,43,22,20,Baseline
Tampico,43,23,6,Baseline
Tampico,43,24,12,Baseline
Tampico,45,25,11,Baseline
Tampico,45,27,25,Baseline
Tampico,45,28,21,Baseline
Maguey,8,69,10,Summer 2023
Maguey,8,70,64,Summer 2023
Maguey,8,71,5,Summer 2023
Maguey,8,72,8,Summer 2023
Maguey,10,81,6,Summer 2023
Maguey,10,82,8,Summer 2023
Maguey,10,83,2,Summer 2023
Maguey,12,54,5,Summer 2023
Maguey,12,56,2,Summer 2023
Maguey,15,64,1,Summer 2023
Maguey,28,74,3,Summer 2023
Maguey,28,76,3,Summer 2023
Maguey,38,57,5,Summer 2023
Maguey,38,59,11,Summer 2023
Maguey,38,60,4,Summer 2023
Maguey,43,66,3,Summer 2023
Maguey,43,67,1,Summer 2023
Maguey,43,68,1,Summer 2023
Maguey,45,85,3,Summer 2023
Maguey,45,87,4,Summer 2023
Maguey,45,88,1,Summer 2023
Maguey,48,50,3,Summer 2023
Maguey,48,52,5,Summer 2023
Maguey,74,95,2,Summer 2023
Tampico,1,15,1,Summer 2023
Tampico,4,8,1,Summer 2023
Tampico,20,10,1,Summer 2023
Tampico,20,11,1,Summer 2023
Tampico,20,12,1,Summer 2023
Tampico,22,33,3,Summer 2023
Tampico,22,34,7,Summer 2023
Tampico,22,35,2,Summer 2023
Tampico,22,36,1,Summer 2023
Tampico,23,45,5,Summer 2023
Tampico,23,47,5,Summer 2023
Tampico,23,48,1,Summer 2023
Tampico,24,31,4,Summer 2023
Tampico,35,1,1,Summer 2023
Tampico,35,2,2,Summer 2023
Tampico,35,3,3,Summer 2023
Tampico,37,19,1,Summer 2023
Tampico,39,37,1,Summer 2023
Tampico,39,38,2,Summer 2023
Tampico,39,39,3,Summer 2023
Tampico,43,21,4,Summer 2023
Tampico,43,22,2,Summer 2023
Tampico,43,24,4,Summer 2023
Tampico,45,25,1,Summer 2023
Tampico,45,27,5,Summer 2023
Tampico,45,28,12,Summer 2023
